Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
18,13741,Brandon Bolden,RB,3,NE,JAX,0,0,0,0,0,0,0,0,0,0,0.00
19,13446,Bruce Miller,FB,3,SF,ARI,0,0,0,0,0,0,0,0,0,0,0.00
20,16934,Cameron Artis-Payne,RB,3,CAR,NO,3,6,2,0,0,0,0,0,0,0,0.60
21,16668,Carlos Hyde,RB,3,SF,ARI,15,51,3,0,1,1,10,0,0,0,6.10
22,11737,Cedric Peerman,RB,3,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0.00
23,16307,Charcandrick West,RB,3,KC,GB,0,0,0,0,1,0,0,0,0,0,0.00
24,16609,Charles Sims,RB,3,TB,HOU,6,11,2,0,2,2,41,1,0,0,11.20
25,6828,Chris Johnson,RB,3,ARI,SF,22,110,5,2,2,1,40,0,0,0,27.00
26,13735,Chris Polk,RB,3,HOU,TB,5,5,1,0,0,0,0,0,0,0,0.50
27,15102,Chris Thompson,RB,3,WAS,NYG,2,29,15,0,11,8,57,1,1,0,14.60
28,15020,CJ Anderson,RB,3,DEN,DET,8,18,2,0,1,1,9,0,0,0,2.70
29,10949,CJ Spiller,RB,3,NO,CAR,1,4,4,0,2,2,22,0,0,0,2.60
30,17197,Corey Grant,RB,3,JAX,NE,2,6,3,0,2,1,8,0,0,0,1.40
31,16031,Damien Williams,RB,3,MIA,BUF,2,17,9,0,3,1,5,0,0,0,2.20
32,12317,Danny Woodhead,RB,3,SD,MIN,5,11,2,0,4,3,32,0,0,0,4.30
33,11969,Darrel Young,FB,3,WAS,NYG,1,2,2,0,0,0,0,0,0,0,0.20
34,8066,Darren McFadden,RB,3,DAL,ATL,6,35,6,1,0,0,0,0,0,0,9.50
35,6198,Darren Sproles,RB,3,PHI,NYJ,11,17,2,1,6,4,19,0,0,0,9.60
36,16847,David Johnson,RB,3,ARI,SF,7,25,4,0,3,3,16,0,0,0,4.10
