"","avgAttempts","avgYards","avgTDs","avgPoints","lastRushAtt","lastRushYds","lastRushTD","lastTargets","lastPassYds","lastPassTD","lastFantasyPoints","performanceClass"
"186",9.66666666666667,24,0.333333333333333,4.4,4,17,0,3,0,0,1.7,0
"187",10,55.6666666666667,0.666666666666667,8.9,3,18,0,10,63,1,12.1,2
"188",9.33333333333333,33,1,9.3,2,5,0,0,0,0,0.5,0
"189",9.33333333333333,34.3333333333333,0,3.43333333333333,8,36,0,2,12,0,4.8,0
"190",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
"191",25,133.666666666667,2.33333333333333,27.3666666666667,14,68,3,6,81,0,32.9,4
"192",20.6666666666667,95.6666666666667,0.333333333333333,10.9,20,106,1,5,37,0,20.3,4
"193",0,0,0,0,0,0,0,0,0,0,0,0
"194",13.6666666666667,64.6666666666667,0.333333333333333,8.46666666666667,8,31,0,10,85,1,17.6,3
"195",12.3333333333333,63,0,6.3,18,90,0,3,3,0,9.3,1
"196",1.33333333333333,9,0,0.9,0,0,0,2,10,0,1,0
"197",18.6666666666667,80.6666666666667,0.666666666666667,10.7333333333333,17,53,0,7,34,0,6.7,1
"198",4.33333333333333,30.6666666666667,0.333333333333333,4.4,3,21,0,4,33,0,5.4,1
"199",17.6666666666667,94.6666666666667,0.333333333333333,11.4666666666667,13,62,1,0,0,0,12.2,2
"200",13.3333333333333,77.6666666666667,0.333333333333333,9.76666666666667,12,63,0,3,62,0,12.5,2
"201",0,0,0,0,0,0,0,0,0,0,0,0
"202",14.6666666666667,63,0.333333333333333,8.3,6,22,0,1,11,0,3.3,0
"203",11.3333333333333,33,0,3.3,8,15,0,0,0,0,1.5,0
"204",0.666666666666667,5.66666666666667,0,0.566666666666667,0,0,0,0,0,0,0,0
"205",13,37,0.333333333333333,5.03333333333333,6,16,0,2,9,0,0.5,0
"206",1,21,0.333333333333333,4.1,3,63,1,0,0,0,12.3,2
"207",9.66666666666667,21.3333333333333,0.333333333333333,4.8,3,0,0,0,0,0,0,0
"208",6,19.3333333333333,0,1.93333333333333,7,19,0,3,20,0,3.9,0
"209",0,0,0,0,0,0,0,0,0,0,0,0
"210",8.33333333333333,38.3333333333333,0.666666666666667,7.83333333333333,7,9,1,4,45,0,11.4,2
"211",14,51,0,4.43333333333333,19,41,0,10,77,0,11.8,2
"212",3,20.6666666666667,0,2.06666666666667,0,0,0,2,28,0,2.8,0
"213",2,3.33333333333333,0,0.333333333333333,2,6,0,0,0,0,0.6,0
"214",5.66666666666667,28,0,2.8,7,20,0,3,23,0,4.3,0
"215",0,0,0,0,0,0,0,0,0,0,0,0
"216",3,8.66666666666667,0,0.866666666666667,0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0,0,0,0
"218",0.666666666666667,7.66666666666667,0,0.766666666666667,0,0,0,2,23,0,2.3,0
"219",17,60,0.333333333333333,8,21,93,1,5,4,0,15.7,3
"220",0,0,0,0,0,0,0,0,0,0,0,0
"221",6,19,0,1.9,7,31,0,2,5,0,3.6,0
"222",11.6666666666667,80.3333333333333,0.666666666666667,12.0333333333333,12,51,0,4,85,0,13.6,2
"223",0,0,0,0,0,0,0,0,0,0,0,0
